UniProt,PDB,Status
A0PJ48,AF-A0PJ48-F1.pdb,✅ Downloaded from AlphaFold
A0T398,AF-A0T398-F1.pdb,✅ Downloaded from AlphaFold
A2VCQ7,AF-A2VCQ7-F1.pdb,✅ Downloaded from AlphaFold
A3KFJ0,AF-A3KFJ0-F1.pdb,✅ Downloaded from AlphaFold
B0LXP6,AF-B0LXP6-F1.pdb,✅ Downloaded from AlphaFold
B1AKC9,AF-B1AKC9-F1.pdb,✅ Downloaded from AlphaFold
B4DDH2,AF-B4DDH2-F1.pdb,✅ Downloaded from AlphaFold
B5A931,AF-B5A931-F1.pdb,✅ Downloaded from AlphaFold
B5BU52,AF-B5BU52-F1.pdb,✅ Downloaded from AlphaFold
B5BU77,AF-B5BU77-F1.pdb,✅ Downloaded from AlphaFold
B5BUK7,AF-B5BUK7-F1.pdb,✅ Downloaded from AlphaFold
B7ZA25,AF-B7ZA25-F1.pdb,✅ Downloaded from AlphaFold
B7ZKW7,AF-B7ZKW7-F1.pdb,✅ Downloaded from AlphaFold
B7ZL31,AF-B7ZL31-F1.pdb,✅ Downloaded from AlphaFold
B8ZZI5,AF-B8ZZI5-F1.pdb,✅ Downloaded from AlphaFold
B8ZZR0,AF-B8ZZR0-F1.pdb,✅ Downloaded from AlphaFold
C3W980,AF-C3W980-F1.pdb,✅ Downloaded from AlphaFold
C9IYV2,AF-C9IYV2-F1.pdb,✅ Downloaded from AlphaFold
C9J2Q6,AF-C9J2Q6-F1.pdb,✅ Downloaded from AlphaFold
C9J466,AF-C9J466-F1.pdb,✅ Downloaded from AlphaFold
C9J9P1,AF-C9J9P1-F1.pdb,✅ Downloaded from AlphaFold
C9JDA4,AF-C9JDA4-F1.pdb,✅ Downloaded from AlphaFold
C9JES6,AF-C9JES6-F1.pdb,✅ Downloaded from AlphaFold
D6R9G1,AF-D6R9G1-F1.pdb,✅ Downloaded from AlphaFold
D6RAF9,AF-D6RAF9-F1.pdb,✅ Downloaded from AlphaFold
D6RB05,AF-D6RB05-F1.pdb,✅ Downloaded from AlphaFold
D6RC24,AF-D6RC24-F1.pdb,✅ Downloaded from AlphaFold
D6RC95,AF-D6RC95-F1.pdb,✅ Downloaded from AlphaFold
D6RDX0,AF-D6RDX0-F1.pdb,✅ Downloaded from AlphaFold
D6RE65,AF-D6RE65-F1.pdb,✅ Downloaded from AlphaFold
D6REW5,AF-D6REW5-F1.pdb,✅ Downloaded from AlphaFold
D6RF82,AF-D6RF82-F1.pdb,✅ Downloaded from AlphaFold
D6RJF7,AF-D6RJF7-F1.pdb,✅ Downloaded from AlphaFold
D9IPD9,AF-D9IPD9-F1.pdb,✅ Downloaded from AlphaFold
E2I6F6,AF-E2I6F6-F1.pdb,✅ Downloaded from AlphaFold
E5RFM0,AF-E5RFM0-F1.pdb,✅ Downloaded from AlphaFold
E5RII0,AF-E5RII0-F1.pdb,✅ Downloaded from AlphaFold
E5RJ37,AF-E5RJ37-F1.pdb,✅ Downloaded from AlphaFold
E5RJY4,AF-E5RJY4-F1.pdb,✅ Downloaded from AlphaFold
E5RK28,AF-E5RK28-F1.pdb,✅ Downloaded from AlphaFold
E7ENM8,AF-E7ENM8-F1.pdb,✅ Downloaded from AlphaFold
E7ERW9,AF-E7ERW9-F1.pdb,✅ Downloaded from AlphaFold
E7ESI2,AF-E7ESI2-F1.pdb,✅ Downloaded from AlphaFold
E7ET86,AF-E7ET86-F1.pdb,✅ Downloaded from AlphaFold
E7ETY4,AF-E7ETY4-F1.pdb,✅ Downloaded from AlphaFold
E7EU71,AF-E7EU71-F1.pdb,✅ Downloaded from AlphaFold
E7EUC4,AF-E7EUC4-F1.pdb,✅ Downloaded from AlphaFold
E7EX83,AF-E7EX83-F1.pdb,✅ Downloaded from AlphaFold
E9PC47,AF-E9PC47-F1.pdb,✅ Downloaded from AlphaFold
E9PFQ8,AF-E9PFQ8-F1.pdb,✅ Downloaded from AlphaFold
E9PG71,AF-E9PG71-F1.pdb,✅ Downloaded from AlphaFold
E9PIA0,AF-E9PIA0-F1.pdb,✅ Downloaded from AlphaFold
E9PJ92,AF-E9PJ92-F1.pdb,✅ Downloaded from AlphaFold
E9PKD7,AF-E9PKD7-F1.pdb,✅ Downloaded from AlphaFold
E9PQ51,AF-E9PQ51-F1.pdb,✅ Downloaded from AlphaFold
F1CC75,AF-F1CC75-F1.pdb,✅ Downloaded from AlphaFold
F2Z2B3,AF-F2Z2B3-F1.pdb,✅ Downloaded from AlphaFold
F5GXG1,AF-F5GXG1-F1.pdb,✅ Downloaded from AlphaFold
F5H0M3,AF-F5H0M3-F1.pdb,✅ Downloaded from AlphaFold
F5H1X6,AF-F5H1X6-F1.pdb,✅ Downloaded from AlphaFold
F5H3U7,AF-F5H3U7-F1.pdb,✅ Downloaded from AlphaFold
F5H5Q2,AF-F5H5Q2-F1.pdb,✅ Downloaded from AlphaFold
F5H6D4,AF-F5H6D4-F1.pdb,✅ Downloaded from AlphaFold
F6U4U2,AF-F6U4U2-F1.pdb,✅ Downloaded from AlphaFold
F7A8T7,AF-F7A8T7-F1.pdb,✅ Downloaded from AlphaFold
F8VVZ1,AF-F8VVZ1-F1.pdb,✅ Downloaded from AlphaFold
F8W9L4,AF-F8W9L4-F1.pdb,✅ Downloaded from AlphaFold
F8WAZ1,AF-F8WAZ1-F1.pdb,✅ Downloaded from AlphaFold
F8WBA3,AF-F8WBA3-F1.pdb,✅ Downloaded from AlphaFold
F8WBW4,AF-F8WBW4-F1.pdb,✅ Downloaded from AlphaFold
F8WCM0,AF-F8WCM0-F1.pdb,✅ Downloaded from AlphaFold
G3V5C6,AF-G3V5C6-F1.pdb,✅ Downloaded from AlphaFold
H0Y3T9,AF-H0Y3T9-F1.pdb,✅ Downloaded from AlphaFold
H0YAL5,AF-H0YAL5-F1.pdb,✅ Downloaded from AlphaFold
H0YD75,AF-H0YD75-F1.pdb,✅ Downloaded from AlphaFold
H0YG09,AF-H0YG09-F1.pdb,✅ Downloaded from AlphaFold
H0YK38,AF-H0YK38-F1.pdb,✅ Downloaded from AlphaFold
H3BLV9,AF-H3BLV9-F1.pdb,✅ Downloaded from AlphaFold
H3BNI9,AF-H3BNI9-F1.pdb,✅ Downloaded from AlphaFold
H3BP07,AF-H3BP07-F1.pdb,✅ Downloaded from AlphaFold
H3BPW1,AF-H3BPW1-F1.pdb,✅ Downloaded from AlphaFold
H7BXX9,AF-H7BXX9-F1.pdb,✅ Downloaded from AlphaFold
H7C155,AF-H7C155-F1.pdb,✅ Downloaded from AlphaFold
H7C172,AF-H7C172-F1.pdb,✅ Downloaded from AlphaFold
H7C3H0,AF-H7C3H0-F1.pdb,✅ Downloaded from AlphaFold
H7C5P0,AF-H7C5P0-F1.pdb,✅ Downloaded from AlphaFold
I3L136,AF-I3L136-F1.pdb,✅ Downloaded from AlphaFold
I3L309,AF-I3L309-F1.pdb,✅ Downloaded from AlphaFold
I6L989,AF-I6L989-F1.pdb,✅ Downloaded from AlphaFold
I6L994,AF-I6L994-F1.pdb,✅ Downloaded from AlphaFold
I6U4P1,AF-I6U4P1-F1.pdb,✅ Downloaded from AlphaFold
J3KPD6,AF-J3KPD6-F1.pdb,✅ Downloaded from AlphaFold
J3KPJ3,AF-J3KPJ3-F1.pdb,✅ Downloaded from AlphaFold
J3KPQ0,AF-J3KPQ0-F1.pdb,✅ Downloaded from AlphaFold
J3KR82,AF-J3KR82-F1.pdb,✅ Downloaded from AlphaFold
J3QQI9,AF-J3QQI9-F1.pdb,✅ Downloaded from AlphaFold
J3QRB6,AF-J3QRB6-F1.pdb,✅ Downloaded from AlphaFold
K7EIN7,AF-K7EIN7-F1.pdb,✅ Downloaded from AlphaFold
K7EJ83,AF-K7EJ83-F1.pdb,✅ Downloaded from AlphaFold
K7EKG8,AF-K7EKG8-F1.pdb,✅ Downloaded from AlphaFold
K7EM68,AF-K7EM68-F1.pdb,✅ Downloaded from AlphaFold
K7EN76,AF-K7EN76-F1.pdb,✅ Downloaded from AlphaFold
L8EAE3,AF-L8EAE3-F1.pdb,✅ Downloaded from AlphaFold
L8ECC8,AF-L8ECC8-F1.pdb,✅ Downloaded from AlphaFold
M0QYK8,AF-M0QYK8-F1.pdb,✅ Downloaded from AlphaFold
M0R0D0,AF-M0R0D0-F1.pdb,✅ Downloaded from AlphaFold
M0R0P9,AF-M0R0P9-F1.pdb,✅ Downloaded from AlphaFold
M0R0W6,AF-M0R0W6-F1.pdb,✅ Downloaded from AlphaFold
M0R3E6,AF-M0R3E6-F1.pdb,✅ Downloaded from AlphaFold
M0R3G6,AF-M0R3G6-F1.pdb,✅ Downloaded from AlphaFold
N0GVR9,AF-N0GVR9-F1.pdb,✅ Downloaded from AlphaFold
O00141,AF-O00141-F1.pdb,✅ Downloaded from AlphaFold
O00238,AF-O00238-F1.pdb,✅ Downloaded from AlphaFold
O00311,AF-O00311-F1.pdb,✅ Downloaded from AlphaFold
O00329,AF-O00329-F1.pdb,✅ Downloaded from AlphaFold
O00418,AF-O00418-F1.pdb,✅ Downloaded from AlphaFold
O00444,AF-O00444-F1.pdb,✅ Downloaded from AlphaFold
O00506,AF-O00506-F1.pdb,✅ Downloaded from AlphaFold
O14733,AF-O14733-F1.pdb,✅ Downloaded from AlphaFold
O14757,AF-O14757-F1.pdb,✅ Downloaded from AlphaFold
O14920,AF-O14920-F1.pdb,✅ Downloaded from AlphaFold
O14965,AF-O14965-F1.pdb,✅ Downloaded from AlphaFold
O15075,AF-O15075-F1.pdb,✅ Downloaded from AlphaFold
O15111,AF-O15111-F1.pdb,✅ Downloaded from AlphaFold
O15146,AF-O15146-F1.pdb,✅ Downloaded from AlphaFold
O15264,AF-O15264-F1.pdb,✅ Downloaded from AlphaFold
O15530,AF-O15530-F1.pdb,✅ Downloaded from AlphaFold
O43172,AF-O43172-F1.pdb,✅ Downloaded from AlphaFold
O43283,AF-O43283-F1.pdb,✅ Downloaded from AlphaFold
O43293,AF-O43293-F1.pdb,✅ Downloaded from AlphaFold
O43318,AF-O43318-F1.pdb,✅ Downloaded from AlphaFold
O43741,AF-O43741-F1.pdb,✅ Downloaded from AlphaFold
O43781,AF-O43781-F1.pdb,✅ Downloaded from AlphaFold
O60285,AF-O60285-F1.pdb,✅ Downloaded from AlphaFold
O60674,AF-O60674-F1.pdb,✅ Downloaded from AlphaFold
O75116,AF-O75116-F1.pdb,✅ Downloaded from AlphaFold
O75385,AF-O75385-F1.pdb,✅ Downloaded from AlphaFold
O75582,AF-O75582-F1.pdb,✅ Downloaded from AlphaFold
O75676,AF-O75676-F1.pdb,✅ Downloaded from AlphaFold
O75914,AF-O75914-F1.pdb,✅ Downloaded from AlphaFold
O94768,AF-O94768-F1.pdb,✅ Downloaded from AlphaFold
O94804,AF-O94804-F1.pdb,✅ Downloaded from AlphaFold
O94806,AF-O94806-F1.pdb,✅ Downloaded from AlphaFold
O94921,AF-O94921-F1.pdb,✅ Downloaded from AlphaFold
O95098,AF-O95098-F1.pdb,✅ Downloaded from AlphaFold
O95382,AF-O95382-F1.pdb,✅ Downloaded from AlphaFold
O95819,AF-O95819-F1.pdb,✅ Downloaded from AlphaFold
O96013,AF-O96013-F1.pdb,✅ Downloaded from AlphaFold
O96017,AF-O96017-F1.pdb,✅ Downloaded from AlphaFold
P00519,AF-P00519-F1.pdb,✅ Downloaded from AlphaFold
P00533,AF-P00533-F1.pdb,✅ Downloaded from AlphaFold
P04049,AF-P04049-F1.pdb,✅ Downloaded from AlphaFold
P04626,AF-P04626-F1.pdb,✅ Downloaded from AlphaFold
P04629,AF-P04629-F1.pdb,✅ Downloaded from AlphaFold
P05129,AF-P05129-F1.pdb,✅ Downloaded from AlphaFold
P05771,AF-P05771-F1.pdb,✅ Downloaded from AlphaFold
P06213,AF-P06213-F1.pdb,✅ Downloaded from AlphaFold
P06239,AF-P06239-F1.pdb,✅ Downloaded from AlphaFold
P06241,AF-P06241-F1.pdb,✅ Downloaded from AlphaFold
P06493,AF-P06493-F1.pdb,✅ Downloaded from AlphaFold
P07332,AF-P07332-F1.pdb,✅ Downloaded from AlphaFold
P07333,AF-P07333-F1.pdb,✅ Downloaded from AlphaFold
P07947,AF-P07947-F1.pdb,✅ Downloaded from AlphaFold
P07948,AF-P07948-F1.pdb,✅ Downloaded from AlphaFold
P07949,AF-P07949-F1.pdb,✅ Downloaded from AlphaFold
P08069,AF-P08069-F1.pdb,✅ Downloaded from AlphaFold
P08581,AF-P08581-F1.pdb,✅ Downloaded from AlphaFold
P08631,AF-P08631-F1.pdb,✅ Downloaded from AlphaFold
P09619,AF-P09619-F1.pdb,✅ Downloaded from AlphaFold
P09769,AF-P09769-F1.pdb,✅ Downloaded from AlphaFold
P0C264,AF-P0C264-F1.pdb,✅ Downloaded from AlphaFold
P10721,AF-P10721-F1.pdb,✅ Downloaded from AlphaFold
P11309,AF-P11309-F1.pdb,✅ Downloaded from AlphaFold
P11362,AF-P11362-F1.pdb,✅ Downloaded from AlphaFold
P11802,AF-P11802-F1.pdb,✅ Downloaded from AlphaFold
P12931,AF-P12931-F1.pdb,✅ Downloaded from AlphaFold
P15056,AF-P15056-F1.pdb,✅ Downloaded from AlphaFold
P15735,AF-P15735-F1.pdb,✅ Downloaded from AlphaFold
P16234,AF-P16234-F1.pdb,✅ Downloaded from AlphaFold
P16591,AF-P16591-F1.pdb,✅ Downloaded from AlphaFold
P17252,AF-P17252-F1.pdb,✅ Downloaded from AlphaFold
P17612,AF-P17612-F1.pdb,✅ Downloaded from AlphaFold
P17948,AF-P17948-F1.pdb,✅ Downloaded from AlphaFold
P19525,AF-P19525-F1.pdb,✅ Downloaded from AlphaFold
P19784,AF-P19784-F1.pdb,✅ Downloaded from AlphaFold
P20794,AF-P20794-F1.pdb,✅ Downloaded from AlphaFold
P21802,AF-P21802-F1.pdb,✅ Downloaded from AlphaFold
P22455,AF-P22455-F1.pdb,✅ Downloaded from AlphaFold
P22607,AF-P22607-F1.pdb,✅ Downloaded from AlphaFold
P22612,AF-P22612-F1.pdb,✅ Downloaded from AlphaFold
P22694,AF-P22694-F1.pdb,✅ Downloaded from AlphaFold
P23443,AF-P23443-F1.pdb,✅ Downloaded from AlphaFold
P23458,AF-P23458-F1.pdb,✅ Downloaded from AlphaFold
P24723,AF-P24723-F1.pdb,✅ Downloaded from AlphaFold
P24941,AF-P24941-F1.pdb,✅ Downloaded from AlphaFold
P27037,AF-P27037-F1.pdb,✅ Downloaded from AlphaFold
P27361,AF-P27361-F1.pdb,✅ Downloaded from AlphaFold
P27448,AF-P27448-F1.pdb,✅ Downloaded from AlphaFold
P28482,AF-P28482-F1.pdb,✅ Downloaded from AlphaFold
P29317,AF-P29317-F1.pdb,✅ Downloaded from AlphaFold
P29322,AF-P29322-F1.pdb,✅ Downloaded from AlphaFold
P29323,AF-P29323-F1.pdb,✅ Downloaded from AlphaFold
P29376,AF-P29376-F1.pdb,✅ Downloaded from AlphaFold
P29597,AF-P29597-F1.pdb,✅ Downloaded from AlphaFold
P30291,AF-P30291-F1.pdb,✅ Downloaded from AlphaFold
P30530,AF-P30530-F1.pdb,✅ Downloaded from AlphaFold
P31152,AF-P31152-F1.pdb,✅ Downloaded from AlphaFold
P31749,AF-P31749-F1.pdb,✅ Downloaded from AlphaFold
P31751,AF-P31751-F1.pdb,✅ Downloaded from AlphaFold
P34947,AF-P34947-F1.pdb,✅ Downloaded from AlphaFold
P35916,AF-P35916-F1.pdb,✅ Downloaded from AlphaFold
P35968,AF-P35968-F1.pdb,✅ Downloaded from AlphaFold
P36507,AF-P36507-F1.pdb,✅ Downloaded from AlphaFold
P36888,AF-P36888-F1.pdb,✅ Downloaded from AlphaFold
P41240,AF-P41240-F1.pdb,✅ Downloaded from AlphaFold
P41279,AF-P41279-F1.pdb,✅ Downloaded from AlphaFold
P41743,AF-P41743-F1.pdb,✅ Downloaded from AlphaFold
P42336,AF-P42336-F1.pdb,✅ Downloaded from AlphaFold
P42338,AF-P42338-F1.pdb,✅ Downloaded from AlphaFold
P42679,AF-P42679-F1.pdb,✅ Downloaded from AlphaFold
P42684,AF-P42684-F1.pdb,✅ Downloaded from AlphaFold
P42685,AF-P42685-F1.pdb,✅ Downloaded from AlphaFold
P42818,AF-P42818-F1.pdb,✅ Downloaded from AlphaFold
P43403,AF-P43403-F1.pdb,✅ Downloaded from AlphaFold
P43405,AF-P43405-F1.pdb,✅ Downloaded from AlphaFold
P45983,AF-P45983-F1.pdb,✅ Downloaded from AlphaFold
P45984,AF-P45984-F1.pdb,✅ Downloaded from AlphaFold
P45985,AF-P45985-F1.pdb,✅ Downloaded from AlphaFold
P46734,AF-P46734-F1.pdb,✅ Downloaded from AlphaFold
P48729,AF-P48729-F1.pdb,✅ Downloaded from AlphaFold
P48730,AF-P48730-F1.pdb,✅ Downloaded from AlphaFold
P48736,AF-P48736-F1.pdb,✅ Downloaded from AlphaFold
P49137,AF-P49137-F1.pdb,✅ Downloaded from AlphaFold
P49336,AF-P49336-F1.pdb,✅ Downloaded from AlphaFold
P49674,AF-P49674-F1.pdb,✅ Downloaded from AlphaFold
P49759,AF-P49759-F1.pdb,✅ Downloaded from AlphaFold
P49760,AF-P49760-F1.pdb,✅ Downloaded from AlphaFold
P49761,AF-P49761-F1.pdb,✅ Downloaded from AlphaFold
P49840,AF-P49840-F1.pdb,✅ Downloaded from AlphaFold
P49841,AF-P49841-F1.pdb,✅ Downloaded from AlphaFold
P50613,AF-P50613-F1.pdb,✅ Downloaded from AlphaFold
P50750,AF-P50750-F1.pdb,✅ Downloaded from AlphaFold
P51451,AF-P51451-F1.pdb,✅ Downloaded from AlphaFold
P51617,AF-P51617-F1.pdb,✅ Downloaded from AlphaFold
P51812,AF-P51812-F1.pdb,✅ Downloaded from AlphaFold
P51813,AF-P51813-F1.pdb,✅ Downloaded from AlphaFold
P51817,AF-P51817-F1.pdb,✅ Downloaded from AlphaFold
P51955,AF-P51955-F1.pdb,✅ Downloaded from AlphaFold
P51957,AF-P51957-F1.pdb,✅ Downloaded from AlphaFold
P52564,AF-P52564-F1.pdb,✅ Downloaded from AlphaFold
P53350,AF-P53350-F1.pdb,✅ Downloaded from AlphaFold
P53667,AF-P53667-F1.pdb,✅ Downloaded from AlphaFold
P53671,AF-P53671-F1.pdb,✅ Downloaded from AlphaFold
P53778,AF-P53778-F1.pdb,✅ Downloaded from AlphaFold
P53779,AF-P53779-F1.pdb,✅ Downloaded from AlphaFold
P54619,AF-P54619-F1.pdb,✅ Downloaded from AlphaFold
P54646,AF-P54646-F1.pdb,✅ Downloaded from AlphaFold
P54753,AF-P54753-F1.pdb,✅ Downloaded from AlphaFold
P54760,AF-P54760-F1.pdb,✅ Downloaded from AlphaFold
P57059,AF-P57059-F1.pdb,✅ Downloaded from AlphaFold
P67870,AF-P67870-F1.pdb,✅ Downloaded from AlphaFold
P68400,AF-P68400-F1.pdb,✅ Downloaded from AlphaFold
P78356,AF-P78356-F1.pdb,✅ Downloaded from AlphaFold
P80192,AF-P80192-F1.pdb,✅ Downloaded from AlphaFold
P80370,AF-P80370-F1.pdb,✅ Downloaded from AlphaFold
P9WI80,AF-P9WI80-F1.pdb,✅ Downloaded from AlphaFold
Q00535,AF-Q00535-F1.pdb,✅ Downloaded from AlphaFold
Q00537,AF-Q00537-F1.pdb,✅ Downloaded from AlphaFold
Q02156,AF-Q02156-F1.pdb,✅ Downloaded from AlphaFold
Q02750,AF-Q02750-F1.pdb,✅ Downloaded from AlphaFold
Q02763,AF-Q02763-F1.pdb,✅ Downloaded from AlphaFold
Q02779,AF-Q02779-F1.pdb,✅ Downloaded from AlphaFold
Q04759,AF-Q04759-F1.pdb,✅ Downloaded from AlphaFold
Q04771,AF-Q04771-F1.pdb,✅ Downloaded from AlphaFold
Q04912,AF-Q04912-F1.pdb,✅ Downloaded from AlphaFold
Q05397,AF-Q05397-F1.pdb,✅ Downloaded from AlphaFold
Q05513,AF-Q05513-F1.pdb,✅ Downloaded from AlphaFold
Q05655,AF-Q05655-F1.pdb,✅ Downloaded from AlphaFold
Q05D26,AF-Q05D26-F1.pdb,✅ Downloaded from AlphaFold
Q05DF6,AF-Q05DF6-F1.pdb,✅ Downloaded from AlphaFold
Q06418,AF-Q06418-F1.pdb,✅ Downloaded from AlphaFold
Q07785,AF-Q07785-F1.pdb,✅ Downloaded from AlphaFold
Q07912,AF-Q07912-F1.pdb,✅ Downloaded from AlphaFold
Q08881,AF-Q08881-F1.pdb,✅ Downloaded from AlphaFold
Q0VD65,AF-Q0VD65-F1.pdb,✅ Downloaded from AlphaFold
Q12851,AF-Q12851-F1.pdb,✅ Downloaded from AlphaFold
Q12866,AF-Q12866-F1.pdb,✅ Downloaded from AlphaFold
Q13131,AF-Q13131-F1.pdb,✅ Downloaded from AlphaFold
Q13153,AF-Q13153-F1.pdb,✅ Downloaded from AlphaFold
Q13163,AF-Q13163-F1.pdb,✅ Downloaded from AlphaFold
Q13164,AF-Q13164-F1.pdb,✅ Downloaded from AlphaFold
Q13177,AF-Q13177-F1.pdb,✅ Downloaded from AlphaFold
Q13188,AF-Q13188-F1.pdb,✅ Downloaded from AlphaFold
Q13237,AF-Q13237-F1.pdb,✅ Downloaded from AlphaFold
Q13464,AF-Q13464-F1.pdb,✅ Downloaded from AlphaFold
Q13554,AF-Q13554-F1.pdb,✅ Downloaded from AlphaFold
Q13555,AF-Q13555-F1.pdb,✅ Downloaded from AlphaFold
Q13557,AF-Q13557-F1.pdb,✅ Downloaded from AlphaFold
Q13627,AF-Q13627-F1.pdb,✅ Downloaded from AlphaFold
Q13689,AF-Q13689-F1.pdb,✅ Downloaded from AlphaFold
Q13873,AF-Q13873-F1.pdb,✅ Downloaded from AlphaFold
Q13882,AF-Q13882-F1.pdb,✅ Downloaded from AlphaFold
Q13976,AF-Q13976-F1.pdb,✅ Downloaded from AlphaFold
Q14004,AF-Q14004-F1.pdb,✅ Downloaded from AlphaFold
Q14012,AF-Q14012-F1.pdb,✅ Downloaded from AlphaFold
Q14164,AF-Q14164-F1.pdb,✅ Downloaded from AlphaFold
Q14289,AF-Q14289-F1.pdb,✅ Downloaded from AlphaFold
Q14680,AF-Q14680-F1.pdb,✅ Downloaded from AlphaFold
Q15118,AF-Q15118-F1.pdb,✅ Downloaded from AlphaFold
Q15139,AF-Q15139-F1.pdb,✅ Downloaded from AlphaFold
Q15208,AF-Q15208-F1.pdb,✅ Downloaded from AlphaFold
Q15303,AF-Q15303-F1.pdb,✅ Downloaded from AlphaFold
Q15349,AF-Q15349-F1.pdb,✅ Downloaded from AlphaFold
Q15418,AF-Q15418-F1.pdb,✅ Downloaded from AlphaFold
Q15569,AF-Q15569-F1.pdb,✅ Downloaded from AlphaFold
Q15759,AF-Q15759-F1.pdb,✅ Downloaded from AlphaFold
Q15831,AF-Q15831-F1.pdb,✅ Downloaded from AlphaFold
Q16288,AF-Q16288-F1.pdb,✅ Downloaded from AlphaFold
Q16512,AF-Q16512-F1.pdb,✅ Downloaded from AlphaFold
Q16513,AF-Q16513-F1.pdb,✅ Downloaded from AlphaFold
Q16539,AF-Q16539-F1.pdb,✅ Downloaded from AlphaFold
Q16566,AF-Q16566-F1.pdb,✅ Downloaded from AlphaFold
Q16584,AF-Q16584-F1.pdb,✅ Downloaded from AlphaFold
Q16620,AF-Q16620-F1.pdb,✅ Downloaded from AlphaFold
Q16644,AF-Q16644-F1.pdb,✅ Downloaded from AlphaFold
Q16659,AF-Q16659-F1.pdb,✅ Downloaded from AlphaFold
Q1RMF4,AF-Q1RMF4-F1.pdb,✅ Downloaded from AlphaFold
Q2TB16,AF-Q2TB16-F1.pdb,✅ Downloaded from AlphaFold
Q32MK0,AF-Q32MK0-F1.pdb,✅ Downloaded from AlphaFold
Q499L9,AF-Q499L9-F1.pdb,✅ Downloaded from AlphaFold
Q4G0N3,AF-Q4G0N3-F1.pdb,✅ Downloaded from AlphaFold
Q4VAU9,AF-Q4VAU9-F1.pdb,✅ Downloaded from AlphaFold
Q52WX2,AF-Q52WX2-F1.pdb,✅ Downloaded from AlphaFold
