Gene Name,UniProt Entry
S6K1,P42818
SBK1,Q52WX2
SGK3,Q96BR1
SIK,P57059
SIK2,Q9H0K1
SLK,Q9H2G2
SNARK,Q9H093
SNRK,Q9NRH2
SRC,P12931
SRMS,Q9H3Y6
SRPK1,Q96SB4
SRPK2,P78362
SRPK3,Q9UPE1
STK16,O75716
STK33,Q9BYT3
STK35,Q8TDR2
STK36,Q9NRP7
STK39,Q9UEW8
SYK,P43405
SgK110,P0C264
TAK1,O43318
TAOK1,Q7L7X3
TAOK2,Q6ZQ29
TAOK3,Q8BYC6
TBK1,Q9UHD2
TEC,P42680
TESK1,Q15569
TGFBR1,P36897
TGFBR2,P37173
TIE1,P35590
TIE2,Q02763
TLK1,Q9UKI8
TLK2,Q86UE8
TNIK,Q9UKE5
TNK1,Q13470
TNK2,Q07912
TNNI3K,Q59H18
TRKA,P04629
TRKB,Q16620
TRKC,Q16288
TRPM6,Q9BX84
TSSK1B,Q3SZW1
TTK,P33981
TXK,P42681
TYRO3,Q06418
ULK1,O75385
ULK2,Q8IYT8
ULK3,Q6PHR2
VEGFR2,P35968
VRK2,Q86Y07
WEE1,P30291
WEE2,P0C1S8
YANK1,Q8WU08
YANK2,Q9NY57
YANK3,Q86UX6
YES,P07947
YSK1,O00506
YSK4,Q56UN5
ZAK,Q9NYL2
ZAP70,P43403
p38-alpha,A0A8J0UHZ4
p38-beta,A0A8J0UMT9
