UniProt Accession,PDB ID,Status,Source
Q9UM73,4CLJ,✅ Downloaded from PDB,Davis
Q9UM73,4CMO,✅ Downloaded from PDB,Davis
Q9UM73,4CMT,✅ Downloaded from PDB,Davis
Q9UM73,4CMU,✅ Downloaded from PDB,Davis
Q9UM73,4CNH,✅ Downloaded from PDB,Davis
Q9UM73,4CTB,✅ Downloaded from PDB,Davis
Q9UM73,4CTC,✅ Downloaded from PDB,Davis
Q9UM73,4DCE,✅ Downloaded from PDB,Davis
Q9UM73,4FNW,✅ Downloaded from PDB,Davis
Q9UM73,4FNX,✅ Downloaded from PDB,Davis
Q9UM73,4FNY,✅ Downloaded from PDB,Davis
Q9UM73,4FNZ,✅ Downloaded from PDB,Davis
Q9UM73,4FOB,✅ Downloaded from PDB,Davis
Q9UM73,4FOC,✅ Downloaded from PDB,Davis
Q9UM73,4FOD,✅ Downloaded from PDB,Davis
Q9UM73,4JOA,✅ Downloaded from PDB,Davis
Q9UM73,4MKC,✅ Downloaded from PDB,Davis
Q9UM73,4TT7,✅ Downloaded from PDB,Davis
Q9UM73,4Z55,✅ Downloaded from PDB,Davis
Q9UM73,5A9U,✅ Downloaded from PDB,Davis
Q9UM73,5AA8,✅ Downloaded from PDB,Davis
Q9UM73,5AA9,✅ Downloaded from PDB,Davis
Q9UM73,5AAA,✅ Downloaded from PDB,Davis
Q9UM73,5AAB,✅ Downloaded from PDB,Davis
Q9UM73,5AAC,✅ Downloaded from PDB,Davis
Q9UM73,5FTO,✅ Downloaded from PDB,Davis
Q9UM73,5FTQ,✅ Downloaded from PDB,Davis
Q9UM73,5IMX,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
Q9UM73,5IUG,✅ Downloaded from PDB,Davis
Q9UM73,5IUH,✅ Downloaded from PDB,Davis
Q9UM73,5IUI,✅ Downloaded from PDB,Davis
Q9UM73,5KZ0,✅ Downloaded from PDB,Davis
Q9UM73,5VZ5,✅ Downloaded from PDB,Davis
Q9UM73,6AT9,✅ Downloaded from PDB,Davis
Q9UM73,6CDT,✅ Downloaded from PDB,Davis
Q9UM73,6E0R,✅ Downloaded from PDB,Davis
Q9UM73,6EBW,✅ Downloaded from PDB,Davis
Q9UM73,6EDL,✅ Downloaded from PDB,Davis
Q9UM73,6MX8,✅ Downloaded from PDB,Davis
Q9UM73,7BTT,✅ Downloaded from PDB,Davis
Q9UM73,7JY4,✅ Downloaded from PDB,Davis
Q9UM73,7JYR,✅ Downloaded from PDB,Davis
Q9UM73,7JYS,✅ Downloaded from PDB,Davis
Q9UM73,7JYT,✅ Downloaded from PDB,Davis
Q9UM73,7LRZ,✅ Downloaded from PDB,Davis
Q9UM73,7LS0,✅ Downloaded from PDB,Davis
Q9UM73,7MZW,✅ Downloaded from PDB,Davis
Q9UM73,7MZY,✅ Downloaded from PDB,Davis
Q9UM73,7N00,✅ Downloaded from PDB,Davis
Q9UM73,7NWZ,✅ Downloaded from PDB,Davis
Q9UM73,7NX3,✅ Downloaded from PDB,Davis
Q9UM73,7NX4,✅ Downloaded from PDB,Davis
Q9UM73,7R7K,✅ Downloaded from PDB,Davis
Q9UM73,7R7R,✅ Downloaded from PDB,Davis
Q9UM73,8ARJ,✅ Downloaded from PDB,Davis
Q9UM73,9GBE,❌ PDB Download failed,Davis
Q13131,4RED,✅ Downloaded from PDB,Davis
Q13131,4RER,✅ Downloaded from PDB,Davis
Q13131,4REW,✅ Downloaded from PDB,Davis
Q13131,5EZV,✅ Downloaded from PDB,Davis
Q13131,6C9F,✅ Downloaded from PDB,Davis
Q13131,6C9G,✅ Downloaded from PDB,Davis
Q13131,6C9H,✅ Downloaded from PDB,Davis
Q13131,6C9J,✅ Downloaded from PDB,Davis
Q13131,7JHG,✅ Downloaded from PDB,Davis
Q13131,7JHH,✅ Downloaded from PDB,Davis
Q13131,7JIJ,✅ Downloaded from PDB,Davis
Q13131,7M74,✅ Downloaded from PDB,Davis
P54646,2H6D,✅ Downloaded from PDB,Davis
P54646,2LTU,✅ Downloaded from PDB,Davis
P54646,2YZA,✅ Downloaded from PDB,Davis
P54646,3AQV,✅ Downloaded from PDB,Davis
P54646,4CFE,✅ Downloaded from PDB,Davis
P54646,4CFF,✅ Downloaded from PDB,Davis
P54646,4ZHX,✅ Downloaded from PDB,Davis
P54646,5EZV,✅ Downloaded from PDB,Davis
P54646,5ISO,✅ Downloaded from PDB,Davis
P54646,6B1U,✅ Downloaded from PDB,Davis
P54646,6B2E,✅ Downloaded from PDB,Davis
P54646,6BX6,✅ Downloaded from PDB,Davis
P54646,7MYJ,✅ Downloaded from PDB,Davis
P54646,8BIK,✅ Downloaded from PDB,Davis
O60285,AF-O60285-F1,✅ Downloaded from AlphaFold,Davis
Q99683,2CLQ,✅ Downloaded from PDB,Davis
Q99683,3VW6,✅ Downloaded from PDB,Davis
Q99683,4BF2,✅ Downloaded from PDB,Davis
Q99683,4BHN,✅ Downloaded from PDB,Davis
Q99683,4BIB,✅ Downloaded from PDB,Davis
Q99683,4BIC,✅ Downloaded from PDB,Davis
Q99683,4BID,✅ Downloaded from PDB,Davis
Q99683,4BIE,✅ Downloaded from PDB,Davis
Q99683,5ULM,✅ Downloaded from PDB,Davis
Q99683,5UOR,✅ Downloaded from PDB,Davis
Q99683,5UOX,✅ Downloaded from PDB,Davis
Q99683,5UP3,✅ Downloaded from PDB,Davis
Q99683,5V19,✅ Downloaded from PDB,Davis
Q99683,5V24,✅ Downloaded from PDB,Davis
Q99683,5VIL,✅ Downloaded from PDB,Davis
Q99683,5VIO,✅ Downloaded from PDB,Davis
Q99683,6E2M,✅ Downloaded from PDB,Davis
Q99683,6E2N,✅ Downloaded from PDB,Davis
Q99683,6E2O,✅ Downloaded from PDB,Davis
Q99683,6EJL,✅ Downloaded from PDB,Davis
Q99683,6OYT,✅ Downloaded from PDB,Davis
Q99683,6OYW,✅ Downloaded from PDB,Davis
Q99683,6VRE,✅ Downloaded from PDB,Davis
Q99683,6XIH,✅ Downloaded from PDB,Davis
Q99683,7MU6,❌ PDB Download failed,Davis
Q99683,7MU7,✅ Downloaded from PDB,Davis
Q99683,8QGY,✅ Downloaded from PDB,Davis
O95382,AF-O95382-F1,✅ Downloaded from AlphaFold,Davis
A3KFJ0,AF-A3KFJ0-F1,✅ Downloaded from AlphaFold,Davis
M0QYK8,AF-M0QYK8-F1,✅ Downloaded from AlphaFold,Davis
M0R0W6,AF-M0R0W6-F1,✅ Downloaded from AlphaFold,Davis
Q9NSY1,4W9W,✅ Downloaded from PDB,Davis
Q9NSY1,4W9X,✅ Downloaded from PDB,Davis
Q9NSY1,5I3O,✅ Downloaded from PDB,Davis
Q9NSY1,5I3R,✅ Downloaded from PDB,Davis
Q9NSY1,5IKW,✅ Downloaded from PDB,Davis
Q05D26,AF-Q05D26-F1,✅ Downloaded from AlphaFold,Davis
O00238,3MDY,✅ Downloaded from PDB,Davis
Q13873,2HLQ,✅ Downloaded from PDB,Davis
Q13873,3G2F,✅ Downloaded from PDB,Davis
Q13873,6UNP,✅ Downloaded from PDB,Davis
Q13873,7PPA,✅ Downloaded from PDB,Davis
Q13873,7PPB,✅ Downloaded from PDB,Davis
Q13873,7PPC,✅ Downloaded from PDB,Davis
Q13873,7U5O,✅ Downloaded from PDB,Davis
P51813,2EKX,✅ Downloaded from PDB,Davis
P51813,2YS2,✅ Downloaded from PDB,Davis
P51813,3SXR,✅ Downloaded from PDB,Davis
P51813,3SXS,✅ Downloaded from PDB,Davis
P51813,6I99,✅ Downloaded from PDB,Davis
P51813,8X2A,✅ Downloaded from PDB,Davis
F1CC75,AF-F1CC75-F1,✅ Downloaded from AlphaFold,Davis
Q13882,1RJA,✅ Downloaded from PDB,Davis
Q13882,2KGT,✅ Downloaded from PDB,Davis
Q13882,5D7V,✅ Downloaded from PDB,Davis
Q13882,5DA3,✅ Downloaded from PDB,Davis
Q13882,5H2U,✅ Downloaded from PDB,Davis
Q13882,6CZ2,✅ Downloaded from PDB,Davis
Q13882,6CZ3,✅ Downloaded from PDB,Davis
Q13882,6CZ4,✅ Downloaded from PDB,Davis
K7EM68,AF-K7EM68-F1,✅ Downloaded from AlphaFold,Davis
Q8IU85,2JC6,✅ Downloaded from PDB,Davis
Q8IU85,6QP5,✅ Downloaded from PDB,Davis
Q8IU85,6T28,❌ PDB Download failed,Davis
Q8IU85,6T29,❌ PDB Download failed,Davis
Q8IU85,6T6F,✅ Downloaded from PDB,Davis
Q8IU85,8BFM,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
Q8IU85,8BFS,✅ Downloaded from PDB,Davis
C9IYV2,AF-C9IYV2-F1,✅ Downloaded from AlphaFold,Davis
A0A5F9ZH21,AF-A0A5F9ZH21-F1,✅ Downloaded from AlphaFold,Davis
D6RE65,AF-D6RE65-F1,✅ Downloaded from AlphaFold,Davis
J3KPJ3,AF-J3KPJ3-F1,✅ Downloaded from AlphaFold,Davis
F5H4I7,AF-F5H4I7-F1,✅ Downloaded from AlphaFold,Davis
A0A2R8YFN5,AF-A0A2R8YFN5-F1,✅ Downloaded from AlphaFold,Davis
Q6P5Y5,AF-Q6P5Y5-F1,✅ Downloaded from AlphaFold,Davis
Q14004,5EFQ,✅ Downloaded from PDB,Davis
Q14004,7NXJ,✅ Downloaded from PDB,Davis
Q9BWU1,AF-Q9BWU1-F1,✅ Downloaded from AlphaFold,Davis
E7ESI2,AF-E7ESI2-F1,✅ Downloaded from AlphaFold,Davis
K7EJ83,AF-K7EJ83-F1,✅ Downloaded from AlphaFold,Davis
Q6IAW3,AF-Q6IAW3-F1,✅ Downloaded from AlphaFold,Davis
D6R9G1,AF-D6R9G1-F1,✅ Downloaded from AlphaFold,Davis
F5H6D4,AF-F5H6D4-F1,✅ Downloaded from AlphaFold,Davis
X6RE90,AF-X6RE90-F1,✅ Downloaded from AlphaFold,Davis
A0A5H1ZRP5,AF-A0A5H1ZRP5-F1,✅ Downloaded from AlphaFold,Davis
Q92772,4AAA,✅ Downloaded from PDB,Davis
Q92772,4BBM,✅ Downloaded from PDB,Davis
E7ET86,AF-E7ET86-F1,✅ Downloaded from AlphaFold,Davis
A0A669KBC2,AF-A0A669KBC2-F1,✅ Downloaded from AlphaFold,Davis
A0A087WT52,AF-A0A087WT52-F1,✅ Downloaded from AlphaFold,Davis
A0A7P0MUT5,AF-A0A7P0MUT5-F1,✅ Downloaded from AlphaFold,Davis
P49760,3NR9,✅ Downloaded from PDB,Davis
P49760,5UNP,✅ Downloaded from PDB,Davis
P49760,6FYI,✅ Downloaded from PDB,Davis
P49760,6FYK,✅ Downloaded from PDB,Davis
P49760,6FYL,✅ Downloaded from PDB,Davis
P49760,6KHE,✅ Downloaded from PDB,Davis
P49761,2EU9,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P49761,2EXE,✅ Downloaded from PDB,Davis
P49761,2WU6,✅ Downloaded from PDB,Davis
P49761,2WU7,✅ Downloaded from PDB,Davis
P49761,3RAW,✅ Downloaded from PDB,Davis
P49761,6FT7,✅ Downloaded from PDB,Davis
P49761,6FYP,✅ Downloaded from PDB,Davis
P49761,6FYR,✅ Downloaded from PDB,Davis
P49761,6KHF,✅ Downloaded from PDB,Davis
P49761,6RCT,✅ Downloaded from PDB,Davis
P49761,6YTW,✅ Downloaded from PDB,Davis
P49761,6YTY,✅ Downloaded from PDB,Davis
P49761,6YU1,✅ Downloaded from PDB,Davis
P49761,6Z2V,✅ Downloaded from PDB,Davis
P49761,6Z51,✅ Downloaded from PDB,Davis
P49761,6Z52,✅ Downloaded from PDB,Davis
P49761,6Z53,✅ Downloaded from PDB,Davis
P49761,6Z54,✅ Downloaded from PDB,Davis
P49761,6Z55,✅ Downloaded from PDB,Davis
P49761,9EZ3,❌ PDB Download failed,Davis
B7ZL31,AF-B7ZL31-F1,✅ Downloaded from AlphaFold,Davis
H0YAL5,AF-H0YAL5-F1,✅ Downloaded from AlphaFold,Davis
A0A590UJ43,AF-A0A590UJ43-F1,✅ Downloaded from AlphaFold,Davis
Q8N752,AF-Q8N752-F1,✅ Downloaded from AlphaFold,Davis
J3QQI9,AF-J3QQI9-F1,✅ Downloaded from AlphaFold,Davis
A0A0U1RQY7,AF-A0A0U1RQY7-F1,✅ Downloaded from AlphaFold,Davis
A0A2R8YDP2,AF-A0A2R8YDP2-F1,✅ Downloaded from AlphaFold,Davis
H3BNI9,AF-H3BNI9-F1,✅ Downloaded from AlphaFold,Davis
P42679,1JWO,✅ Downloaded from PDB,Davis
P42679,1X6G,✅ Downloaded from PDB,Davis
P42679,3US4,✅ Downloaded from PDB,Davis
A0T398,AF-A0T398-F1,✅ Downloaded from AlphaFold,Davis
Q1RMF4,AF-Q1RMF4-F1,✅ Downloaded from AlphaFold,Davis
M0R0D0,AF-M0R0D0-F1,✅ Downloaded from AlphaFold,Davis
O15075,1MFW,✅ Downloaded from PDB,Davis
O15075,1MG4,✅ Downloaded from PDB,Davis
O15075,1UF0,✅ Downloaded from PDB,Davis
O15075,5JZJ,✅ Downloaded from PDB,Davis
O15075,5JZN,✅ Downloaded from PDB,Davis
O15075,6KYQ,✅ Downloaded from PDB,Davis
O15075,6KYR,✅ Downloaded from PDB,Davis
O15075,7F3G,✅ Downloaded from PDB,Davis
O15075,7KX6,✅ Downloaded from PDB,Davis
O15075,7KX8,✅ Downloaded from PDB,Davis
O15075,7KXW,✅ Downloaded from PDB,Davis
Q9C098,AF-Q9C098-F1,✅ Downloaded from AlphaFold,Davis
A0A0G2JHK4,AF-A0A0G2JHK4-F1,✅ Downloaded from AlphaFold,Davis
A0A5F9ZI27,AF-A0A5F9ZI27-F1,✅ Downloaded from AlphaFold,Davis
I6L989,AF-I6L989-F1,✅ Downloaded from AlphaFold,Davis
Q6DT37,AF-Q6DT37-F1,✅ Downloaded from AlphaFold,Davis
Q9UEE5,7QUE,✅ Downloaded from PDB,Davis
Q9UEE5,7QUF,✅ Downloaded from PDB,Davis
O94768,3LM0,✅ Downloaded from PDB,Davis
O94768,3LM5,✅ Downloaded from PDB,Davis
O94768,6QF4,✅ Downloaded from PDB,Davis
O94768,6Y6F,✅ Downloaded from PDB,Davis
O94768,6Y6H,✅ Downloaded from PDB,Davis
O94768,6ZJF,✅ Downloaded from PDB,Davis
O94768,7AKG,✅ Downloaded from PDB,Davis
O94768,7Q7C,✅ Downloaded from PDB,Davis
O94768,7Q7D,✅ Downloaded from PDB,Davis
O94768,7Q7E,✅ Downloaded from PDB,Davis
N0GVR9,AF-N0GVR9-F1,✅ Downloaded from AlphaFold,Davis
F5GXG1,AF-F5GXG1-F1,✅ Downloaded from AlphaFold,Davis
A2VCQ7,AF-A2VCQ7-F1,✅ Downloaded from AlphaFold,Davis
F8WCM0,AF-F8WCM0-F1,✅ Downloaded from AlphaFold,Davis
L8EAE3,AF-L8EAE3-F1,✅ Downloaded from AlphaFold,Davis
Q96HF4,AF-Q96HF4-F1,✅ Downloaded from AlphaFold,Davis
E2I6F6,AF-E2I6F6-F1,✅ Downloaded from AlphaFold,Davis
E9PG71,AF-E9PG71-F1,✅ Downloaded from AlphaFold,Davis
B7ZKW7,AF-B7ZKW7-F1,✅ Downloaded from AlphaFold,Davis
E7EU71,AF-E7EU71-F1,✅ Downloaded from AlphaFold,Davis
A0A7P0TBL4,AF-A0A7P0TBL4-F1,✅ Downloaded from AlphaFold,Davis
C9J466,AF-C9J466-F1,✅ Downloaded from AlphaFold,Davis
B1AKC9,AF-B1AKC9-F1,✅ Downloaded from AlphaFold,Davis
P54753,3P1I,✅ Downloaded from PDB,Davis
P54753,3ZFY,✅ Downloaded from PDB,Davis
P54753,5L6O,✅ Downloaded from PDB,Davis
P54753,5L6P,✅ Downloaded from PDB,Davis
Q96L35,AF-Q96L35-F1,✅ Downloaded from AlphaFold,Davis
A0A087WYP8,AF-A0A087WYP8-F1,✅ Downloaded from AlphaFold,Davis
X5DNK3,AF-X5DNK3-F1,✅ Downloaded from AlphaFold,Davis
P27361,2ZOQ,✅ Downloaded from PDB,Davis
P27361,4QTB,✅ Downloaded from PDB,Davis
P27361,6GES,✅ Downloaded from PDB,Davis
P28482,1PME,✅ Downloaded from PDB,Davis
P28482,1TVO,✅ Downloaded from PDB,Davis
P28482,1WZY,✅ Downloaded from PDB,Davis
P28482,2OJG,✅ Downloaded from PDB,Davis
P28482,2OJI,✅ Downloaded from PDB,Davis
P28482,2OJJ,✅ Downloaded from PDB,Davis
P28482,2Y9Q,✅ Downloaded from PDB,Davis
P28482,3D42,✅ Downloaded from PDB,Davis
P28482,3D44,✅ Downloaded from PDB,Davis
P28482,3I5Z,✅ Downloaded from PDB,Davis
P28482,3I60,✅ Downloaded from PDB,Davis
P28482,3SA0,✅ Downloaded from PDB,Davis
P28482,3TEI,✅ Downloaded from PDB,Davis
P28482,3W55,✅ Downloaded from PDB,Davis
P28482,4FMQ,✅ Downloaded from PDB,Davis
P28482,4FUX,✅ Downloaded from PDB,Davis
P28482,4FUY,✅ Downloaded from PDB,Davis
P28482,4FV0,✅ Downloaded from PDB,Davis
P28482,4FV1,✅ Downloaded from PDB,Davis
P28482,4FV2,✅ Downloaded from PDB,Davis
P28482,4FV3,✅ Downloaded from PDB,Davis
P28482,4FV4,✅ Downloaded from PDB,Davis
P28482,4FV5,✅ Downloaded from PDB,Davis
P28482,4FV6,✅ Downloaded from PDB,Davis
P28482,4FV7,✅ Downloaded from PDB,Davis
P28482,4FV8,✅ Downloaded from PDB,Davis
P28482,4FV9,✅ Downloaded from PDB,Davis
P28482,4G6N,✅ Downloaded from PDB,Davis
P28482,4G6O,✅ Downloaded from PDB,Davis
P28482,4H3P,✅ Downloaded from PDB,Davis
P28482,4H3Q,✅ Downloaded from PDB,Davis
P28482,4IZ5,✅ Downloaded from PDB,Davis
P28482,4IZ7,✅ Downloaded from PDB,Davis
P28482,4IZA,✅ Downloaded from PDB,Davis
P28482,4N0S,✅ Downloaded from PDB,Davis
P28482,4NIF,✅ Downloaded from PDB,Davis
P28482,4O6E,✅ Downloaded from PDB,Davis
P28482,4QP1,✅ Downloaded from PDB,Davis
P28482,4QP2,✅ Downloaded from PDB,Davis
P28482,4QP3,✅ Downloaded from PDB,Davis
P28482,4QP4,✅ Downloaded from PDB,Davis
P28482,4QP6,✅ Downloaded from PDB,Davis
P28482,4QP7,✅ Downloaded from PDB,Davis
P28482,4QP8,✅ Downloaded from PDB,Davis
P28482,4QP9,✅ Downloaded from PDB,Davis
P28482,4QPA,✅ Downloaded from PDB,Davis
P28482,4QTA,✅ Downloaded from PDB,Davis
P28482,4QTE,✅ Downloaded from PDB,Davis
P28482,4XJ0,✅ Downloaded from PDB,Davis
P28482,4ZXT,✅ Downloaded from PDB,Davis
P28482,4ZZM,✅ Downloaded from PDB,Davis
P28482,4ZZN,✅ Downloaded from PDB,Davis
P28482,4ZZO,✅ Downloaded from PDB,Davis
P28482,5AX3,✅ Downloaded from PDB,Davis
P28482,5BUE,✅ Downloaded from PDB,Davis
P28482,5BUI,✅ Downloaded from PDB,Davis
P28482,5BUJ,✅ Downloaded from PDB,Davis
P28482,5BVD,✅ Downloaded from PDB,Davis
P28482,5BVE,✅ Downloaded from PDB,Davis
P28482,5BVF,✅ Downloaded from PDB,Davis
P28482,5K4I,✅ Downloaded from PDB,Davis
P28482,5LCJ,✅ Downloaded from PDB,Davis
P28482,5LCK,✅ Downloaded from PDB,Davis
P28482,5NGU,✅ Downloaded from PDB,Davis
P28482,5NHF,✅ Downloaded from PDB,Davis
P28482,5NHH,✅ Downloaded from PDB,Davis
P28482,5NHJ,✅ Downloaded from PDB,Davis
P28482,5NHL,✅ Downloaded from PDB,Davis
P28482,5NHO,✅ Downloaded from PDB,Davis
P28482,5NHP,✅ Downloaded from PDB,Davis
P28482,5NHV,✅ Downloaded from PDB,Davis
P28482,5V60,✅ Downloaded from PDB,Davis
P28482,5V61,✅ Downloaded from PDB,Davis
P28482,5V62,✅ Downloaded from PDB,Davis
P28482,5WP1,✅ Downloaded from PDB,Davis
P28482,6D5Y,✅ Downloaded from PDB,Davis
P28482,6DMG,✅ Downloaded from PDB,Davis
P28482,6G54,✅ Downloaded from PDB,Davis
P28482,6G8X,✅ Downloaded from PDB,Davis
P28482,6G91,✅ Downloaded from PDB,Davis
P28482,6G92,✅ Downloaded from PDB,Davis
P28482,6G93,✅ Downloaded from PDB,Davis
P28482,6G97,✅ Downloaded from PDB,Davis
P28482,6G9A,✅ Downloaded from PDB,Davis
P28482,6G9D,✅ Downloaded from PDB,Davis
P28482,6G9H,✅ Downloaded from PDB,Davis
P28482,6G9J,✅ Downloaded from PDB,Davis
P28482,6G9K,✅ Downloaded from PDB,Davis
P28482,6G9M,✅ Downloaded from PDB,Davis
P28482,6G9N,✅ Downloaded from PDB,Davis
P28482,6GDM,✅ Downloaded from PDB,Davis
P28482,6GDQ,✅ Downloaded from PDB,Davis
P28482,6GE0,✅ Downloaded from PDB,Davis
P28482,6GJB,✅ Downloaded from PDB,Davis
P28482,6GJD,✅ Downloaded from PDB,Davis
P28482,6NBS,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,6OPG,✅ Downloaded from PDB,Davis
P28482,6OPH,✅ Downloaded from PDB,Davis
P28482,6OPI,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out.",Davis
P28482,6Q7K,✅ Downloaded from PDB,Davis
P28482,6Q7S,✅ Downloaded from PDB,Davis
P28482,6Q7T,✅ Downloaded from PDB,Davis
P28482,6QA1,✅ Downloaded from PDB,Davis
P28482,6QA3,✅ Downloaded from PDB,Davis
P28482,6QA4,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,6QAG,✅ Downloaded from PDB,Davis
P28482,6QAH,✅ Downloaded from PDB,Davis
P28482,6QAL,✅ Downloaded from PDB,Davis
P28482,6QAQ,✅ Downloaded from PDB,Davis
P28482,6QAW,✅ Downloaded from PDB,Davis
P28482,6RQ4,✅ Downloaded from PDB,Davis
P28482,6SLG,✅ Downloaded from PDB,Davis
P28482,7AUV,✅ Downloaded from PDB,Davis
P28482,7E73,✅ Downloaded from PDB,Davis
P28482,7E75,✅ Downloaded from PDB,Davis
P28482,7NQQ,✅ Downloaded from PDB,Davis
P28482,7NQW,✅ Downloaded from PDB,Davis
P28482,7NR3,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,7NR5,✅ Downloaded from PDB,Davis
P28482,7NR8,✅ Downloaded from PDB,Davis
P28482,7NR9,✅ Downloaded from PDB,Davis
P28482,7OPM,✅ Downloaded from PDB,Davis
P28482,7W5O,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,7X4U,✅ Downloaded from PDB,Davis
P28482,7XC1,✅ Downloaded from PDB,Davis
P28482,8AO2,✅ Downloaded from PDB,Davis
P28482,8AO3,✅ Downloaded from PDB,Davis
P28482,8AO4,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,8AO5,✅ Downloaded from PDB,Davis
P28482,8AO6,✅ Downloaded from PDB,Davis
P28482,8AO7,✅ Downloaded from PDB,Davis
P28482,8AO8,✅ Downloaded from PDB,Davis
P28482,8AO9,✅ Downloaded from PDB,Davis
P28482,8AOA,✅ Downloaded from PDB,Davis
P28482,8AOB,✅ Downloaded from PDB,Davis
P28482,8AOC,✅ Downloaded from PDB,Davis
P28482,8AOD,✅ Downloaded from PDB,Davis
P28482,8AOE,✅ Downloaded from PDB,Davis
P28482,8AOF,✅ Downloaded from PDB,Davis
P28482,8AOG,✅ Downloaded from PDB,Davis
P28482,8AOH,✅ Downloaded from PDB,Davis
P28482,8AOI,✅ Downloaded from PDB,Davis
P28482,8AOJ,✅ Downloaded from PDB,Davis
P28482,8PSR,"⚠️ PDB Exception: HTTPSConnectionPool(host='files.rcsb.org', port=443): Read timed out. (read timeout=10)",Davis
P28482,8PST,✅ Downloaded from PDB,Davis
P28482,8PSW,✅ Downloaded from PDB,Davis
P28482,8PSY,✅ Downloaded from PDB,Davis
P28482,8PT0,✅ Downloaded from PDB,Davis
